iter	Passed	Remaining
975	11227	276
976	11237	264
977	11248	253
978	11260	241
979	11275	230
980	11285	218
981	11296	207
982	11307	195
983	11319	184
984	11330	172
985	11341	161
986	11352	149
987	11364	138
988	11376	126
989	11389	115
990	11399	103
991	11412	92
992	11426	80
993	11438	69
994	11450	57
995	11465	46
996	11478	34
997	11490	23
998	11501	11
999	11512	0
